"","value"
"9846","dying. Tom jerked the door open and flung out a slab of Jim’s meat, and"
"9847","the dogs went for it, and in two seconds he was out himself and back"
"9848","again and shut the door, and I knowed he’d fixed the other door too."
"9849","Then he went to work on the nigger, coaxing him and petting him, and"
"9850","asking him if he’d been imagining he saw something again. He raised up,"
"9851","and blinked his eyes around, and says:"
"9852",""
"9853","“Mars Sid, you’ll say I’s a fool, but if I didn’t b’lieve I see most a"
"9854","million dogs, er devils, er some’n, I wisht I may die right heah in"
"9855","dese tracks. I did, mos’ sholy. Mars Sid, I _felt_ um—I _felt_ um, sah;"
"9856","dey was all over me. Dad fetch it, I jis’ wisht I could git my han’s on"
"9857","one er dem witches jis’ wunst—on’y jis’ wunst—it’s all _I_’d ast. But"
"9858","mos’ly I wisht dey’d lemme ’lone, I does.”"
"9859",""
"9860","Tom says:"
"9861",""
"9862","“Well, I tell you what _I_ think. What makes them come here just at"
"9863","this runaway nigger’s breakfast-time? It’s because they’re hungry;"
"9864","that’s the reason. You make them a witch pie; that’s the thing for"
"9865","_you_ to do.”"
"9866",""
"9867","“But my lan’, Mars Sid, how’s _I_ gwyne to make ’m a witch pie? I doan’"
"9868","know how to make it. I hain’t ever hearn er sich a thing b’fo’.”"
"9869",""
"9870","“Well, then, I’ll have to make it myself.”"
"9871",""
"9872","“Will you do it, honey?—will you? I’ll wusshup de groun’ und’ yo’ foot,"
"9873","I will!”"
"9874",""
"9875","“All right, I’ll do it, seeing it’s you, and you’ve been good to us and"
"9876","showed us the runaway nigger. But you got to be mighty careful. When we"
"9877","come around, you turn your back; and then whatever we’ve put in the"
"9878","pan, don’t you let on you see it at all. And don’t you look when Jim"
"9879","unloads the pan—something might happen, I don’t know what. And above"
"9880","all, don’t you _handle_ the witch-things.”"
"9881",""
"9882","“_Hannel_ ’m, Mars Sid? What _is_ you a-talkin’ ’bout? I wouldn’ lay de"
"9883","weight er my finger on um, not f’r ten hund’d thous’n billion dollars,"
"9884","I wouldn’t.”"
"9885",""
"9886",""
"9887",""
"9888",""
"9889","CHAPTER XXXVII."
"9890",""
"9891",""
"9892","That was all fixed. So then we went away and went to the rubbage-pile"
"9893","in the back yard, where they keep the old boots, and rags, and pieces"
"9894","of bottles, and wore-out tin things, and all such truck, and scratched"
"9895","around and found an old tin washpan, and stopped up the holes as well"
"9896","as we could, to bake the pie in, and took it down cellar and stole it"
"9897","full of flour and started for breakfast, and found a couple of"
"9898","shingle-nails that Tom said would be handy for a prisoner to scrabble"
"9899","his name and sorrows on the dungeon walls with, and dropped one of them"
"9900","in Aunt Sally’s apron-pocket which was hanging on a chair, and t’other"
"9901","we stuck in the band of Uncle Silas’s hat, which was on the bureau,"
"9902","because we heard the children say their pa and ma was going to the"
"9903","runaway nigger’s house this morning, and then went to breakfast, and"
"9904","Tom dropped the pewter spoon in Uncle Silas’s coat-pocket, and Aunt"
"9905","Sally wasn’t come yet, so we had to wait a little while."
"9906",""
"9907","And when she come she was hot and red and cross, and couldn’t hardly"
"9908","wait for the blessing; and then she went to sluicing out coffee with"
"9909","one hand and cracking the handiest child’s head with her thimble with"
"9910","the other, and says:"
"9911",""
"9912","“I’ve hunted high and I’ve hunted low, and it does beat all what _has_"
"9913","become of your other shirt.”"
"9914",""
"9915","My heart fell down amongst my lungs and livers and things, and a hard"
"9916","piece of corn-crust started down my throat after it and got met on the"
"9917","road with a cough, and was shot across the table, and took one of the"
"9918","children in the eye and curled him up like a fishing-worm, and let a"
"9919","cry out of him the size of a warwhoop, and Tom he turned kinder blue"
"9920","around the gills, and it all amounted to a considerable state of things"
"9921","for about a quarter of a minute or as much as that, and I would a sold"
"9922","out for half price if there was a bidder. But after that we was all"
"9923","right again—it was the sudden surprise of it that knocked us so kind of"
"9924","cold. Uncle Silas he says:"
"9925",""
"9926","“It’s most uncommon curious, I can’t understand it. I know perfectly"
"9927","well I took it _off_, because—”"
"9928",""
"9929","“Because you hain’t got but one _on_. Just _listen_ at the man! _I_"
"9930","know you took it off, and know it by a better way than your"
"9931","wool-gethering memory, too, because it was on the clo’s-line"
"9932","yesterday—I see it there myself. But it’s gone, that’s the long and the"
"9933","short of it, and you’ll just have to change to a red flann’l one till I"
"9934","can get time to make a new one. And it ’ll be the third I’ve made in"
"9935","two years. It just keeps a body on the jump to keep you in shirts; and"
"9936","whatever you do manage to _do_ with ’m all is more’n _I_ can make out."
"9937","A body ’d think you _would_ learn to take some sort of care of ’em at"
"9938","your time of life.”"
"9939",""
"9940","“I know it, Sally, and I do try all I can. But it oughtn’t to be"
"9941","altogether my fault, because, you know, I don’t see them nor have"
"9942","nothing to do with them except when they’re on me; and I don’t believe"
"9943","I’ve ever lost one of them _off_ of me.”"
"9944",""
"9945","“Well, it ain’t _your_ fault if you haven’t, Silas; you’d a done it if"
"9946","you could, I reckon. And the shirt ain’t all that’s gone, nuther."
"9947","Ther’s a spoon gone; and _that_ ain’t all. There was ten, and now"
"9948","ther’s only nine. The calf got the shirt, I reckon, but the calf never"
"9949","took the spoon, _that’s_ certain.”"
"9950",""
"9951","“Why, what else is gone, Sally?”"
"9952",""
"9953","“Ther’s six _candles_ gone—that’s what. The rats could a got the"
"9954","candles, and I reckon they did; I wonder they don’t walk off with the"
"9955","whole place, the way you’re always going to stop their holes and don’t"
"9956","do it; and if they warn’t fools they’d sleep in your hair,"
"9957","Silas—_you’d_ never find it out; but you can’t lay the _spoon_ on the"
"9958","rats, and that I _know_.”"
"9959",""
"9960","“Well, Sally, I’m in fault, and I acknowledge it; I’ve been remiss; but"
"9961","I won’t let to-morrow go by without stopping up them holes.”"
"9962",""
"9963","“Oh, I wouldn’t hurry; next year ’ll do. Matilda Angelina Araminta"
"9964","_Phelps!_”"
"9965",""
"9966","Whack comes the thimble, and the child snatches her claws out of the"
"9967","sugar-bowl without fooling around any. Just then the nigger woman steps"
"9968","on to the passage, and says:"
"9969",""
"9970","“Missus, dey’s a sheet gone.”"
"9971",""
"9972","“A _sheet_ gone! Well, for the land’s sake!”"
"9973",""
"9974","“I’ll stop up them holes _to-day_,” says Uncle Silas, looking"
"9975","sorrowful."
"9976",""
"9977","“Oh, _do_ shet up!—s’pose the rats took the _sheet? Where’s_ it gone,"
"9978","Lize?”"
"9979",""
"9980","“Clah to goodness I hain’t no notion, Miss’ Sally. She wuz on de"
"9981","clo’sline yistiddy, but she done gone: she ain’ dah no mo’ now.”"
"9982",""
"9983","“I reckon the world _is_ coming to an end. I _never_ see the beat of it"
"9984","in all my born days. A shirt, and a sheet, and a spoon, and six can—”"
"9985",""
"9986","“Missus,” comes a young yaller wench, “dey’s a brass cannelstick"
"9987","miss’n.”"
"9988",""
"9989","“Cler out from here, you hussy, er I’ll take a skillet to ye!”"
"9990",""
"9991","Well, she was just a-biling. I begun to lay for a chance; I reckoned I"
"9992","would sneak out and go for the woods till the weather moderated. She"
"9993","kept a-raging right along, running her insurrection all by herself, and"
"9994","everybody else mighty meek and quiet; and at last Uncle Silas, looking"
"9995","kind of foolish, fishes up that spoon out of his pocket. She stopped,"
"9996","with her mouth open and her hands up; and as for me, I wished I was in"
"9997","Jeruslem or somewheres. But not long, because she says:"
"9998",""
"9999","“It’s _just_ as I expected. So you had it in your pocket all the time;"
"10000","and like as not you’ve got the other things there, too. How’d it get"
"10001","there?”"
"10002",""
"10003","“I reely don’t know, Sally,” he says, kind of apologizing, “or you know"
"10004","I would tell. I was a-studying over my text in Acts Seventeen before"
"10005","breakfast, and I reckon I put it in there, not noticing, meaning to put"
"10006","my Testament in, and it must be so, because my Testament ain’t in; but"
"10007","I’ll go and see; and if the Testament is where I had it, I’ll know I"
"10008","didn’t put it in, and that will show that I laid the Testament down and"
"10009","took up the spoon, and—”"
"10010",""
"10011","“Oh, for the land’s sake! Give a body a rest! Go ’long now, the whole"
"10012","kit and biling of ye; and don’t come nigh me again till I’ve got back"
"10013","my peace of mind.”"
"10014",""
"10015","_I’d_ a heard her if she’d a said it to herself, let alone speaking it"
"10016","out; and I’d a got up and obeyed her if I’d a been dead. As we was"
"10017","passing through the setting-room the old man he took up his hat, and"
"10018","the shingle-nail fell out on the floor, and he just merely picked it up"
"10019","and laid it on the mantel-shelf, and never said nothing, and went out."
"10020","Tom see him do it, and remembered about the spoon, and says:"
"10021",""
"10022","“Well, it ain’t no use to send things by _him_ no more, he ain’t"
"10023","reliable.” Then he says: “But he done us a good turn with the spoon,"
"10024","anyway, without knowing it, and so we’ll go and do him one without"
"10025","_him_ knowing it—stop up his rat-holes.”"
"10026",""
"10027","There was a noble good lot of them down cellar, and it took us a whole"
"10028","hour, but we done the job tight and good and shipshape. Then we heard"
"10029","steps on the stairs, and blowed out our light and hid; and here comes"
"10030","the old man, with a candle in one hand and a bundle of stuff in"
"10031","t’other, looking as absent-minded as year before last. He went a"
"10032","mooning around, first to one rat-hole and then another, till he’d been"
"10033","to them all. Then he stood about five minutes, picking tallow-drip off"
"10034","of his candle and thinking. Then he turns off slow and dreamy towards"
"10035","the stairs, saying:"
"10036",""
"10037","“Well, for the life of me I can’t remember when I done it. I could show"
"10038","her now that I warn’t to blame on account of the rats. But never"
"10039","mind—let it go. I reckon it wouldn’t do no good.”"
"10040",""
"10041","And so he went on a-mumbling up stairs, and then we left. He was a"
"10042","mighty nice old man. And always is."
"10043",""
"10044","Tom was a good deal bothered about what to do for a spoon, but he said"
"10045","we’d got to have it; so he took a think. When he had ciphered it out he"
"10046","told me how we was to do; then we went and waited around the"
"10047","spoon-basket till we see Aunt Sally coming, and then Tom went to"
"10048","counting the spoons and laying them out to one side, and I slid one of"
"10049","them up my sleeve, and Tom says:"
"10050",""
"10051","“Why, Aunt Sally, there ain’t but nine spoons _yet_.”"
"10052",""
"10053","She says:"
"10054",""
"10055","“Go ’long to your play, and don’t bother me. I know better, I counted"
"10056","’m myself.”"
"10057",""
"10058","“Well, I’ve counted them twice, Aunty, and _I_ can’t make but nine.”"
"10059",""
"10060","She looked out of all patience, but of course she come to count—anybody"
"10061","would."
"10062",""
"10063","“I declare to gracious ther’ _ain’t_ but nine!” she says. “Why, what in"
"10064","the world—plague _take_ the things, I’ll count ’m again.”"
"10065",""
"10066","So I slipped back the one I had, and when she got done counting, she"
"10067","says:"
"10068",""
"10069","“Hang the troublesome rubbage, ther’s _ten_ now!” and she looked huffy"
"10070","and bothered both. But Tom says:"
"10071",""
"10072","“Why, Aunty, _I_ don’t think there’s ten.”"
"10073",""
"10074","“You numskull, didn’t you see me _count_ ’m?”"
"10075",""
"10076","“I know, but—”"
"10077",""
"10078","“Well, I’ll count ’m _again_.”"
"10079",""
"10080","So I smouched one, and they come out nine, same as the other time."
"10081","Well, she _was_ in a tearing way—just a-trembling all over, she was so"
"10082","mad. But she counted and counted till she got that addled she’d start"
"10083","to count in the _basket_ for a spoon sometimes; and so, three times"
"10084","they come out right, and three times they come out wrong. Then she"
"10085","grabbed up the basket and slammed it across the house and knocked the"
"10086","cat galley-west; and she said cle’r out and let her have some peace,"
"10087","and if we come bothering around her again betwixt that and dinner she’d"
"10088","skin us. So we had the odd spoon, and dropped it in her apron-pocket"
"10089","whilst she was a-giving us our sailing orders, and Jim got it all"
"10090","right, along with her shingle nail, before noon. We was very well"
"10091","satisfied with this business, and Tom allowed it was worth twice the"
"10092","trouble it took, because he said _now_ she couldn’t ever count them"
"10093","spoons twice alike again to save her life; and wouldn’t believe she’d"
"10094","counted them right if she _did;_ and said that after she’d about"
"10095","counted her head off for the next three days he judged she’d give it up"
"10096","and offer to kill anybody that wanted her to ever count them any more."
"10097",""
"10098","So we put the sheet back on the line that night, and stole one out of"
"10099","her closet; and kept on putting it back and stealing it again for a"
"10100","couple of days till she didn’t know how many sheets she had any more,"
"10101","and she didn’t _care_, and warn’t a-going to bullyrag the rest of her"
"10102","soul out about it, and wouldn’t count them again not to save her life;"
"10103","she druther die first."
"10104",""
"10105","So we was all right now, as to the shirt and the sheet and the spoon"
"10106","and the candles, by the help of the calf and the rats and the mixed-up"
"10107","counting; and as to the candlestick, it warn’t no consequence, it would"
"10108","blow over by-and-by."
"10109",""
"10110","But that pie was a job; we had no end of trouble with that pie. We"
"10111","fixed it up away down in the woods, and cooked it there; and we got it"
"10112","done at last, and very satisfactory, too; but not all in one day; and"
"10113","we had to use up three wash-pans full of flour before we got through,"
"10114","and we got burnt pretty much all over, in places, and eyes put out with"
"10115","the smoke; because, you see, we didn’t want nothing but a crust, and we"
"10116","couldn’t prop it up right, and she would always cave in. But of course"
"10117","we thought of the right way at last—which was to cook the ladder, too,"
"10118","in the pie. So then we laid in with Jim the second night, and tore up"
"10119","the sheet all in little strings and twisted them together, and long"
"10120","before daylight we had a lovely rope that you could a hung a person"
"10121","with. We let on it took nine months to make it."
"10122",""
"10123","And in the forenoon we took it down to the woods, but it wouldn’t go"
"10124","into the pie. Being made of a whole sheet, that way, there was rope"
"10125","enough for forty pies if we’d a wanted them, and plenty left over for"
"10126","soup, or sausage, or anything you choose. We could a had a whole"
"10127","dinner."
"10128",""
"10129","But we didn’t need it. All we needed was just enough for the pie, and"
"10130","so we throwed the rest away. We didn’t cook none of the pies in the"
"10131","wash-pan—afraid the solder would melt; but Uncle Silas he had a noble"
"10132","brass warming-pan which he thought considerable of, because it belonged"
"10133","to one of his ancesters with a long wooden handle that come over from"
"10134","England with William the Conqueror in the _Mayflower_ or one of them"
"10135","early ships and was hid away up garret with a lot of other old pots and"
"10136","things that was valuable, not on account of being any account, because"
"10137","they warn’t, but on account of them being relicts, you know, and we"
"10138","snaked her out, private, and took her down there, but she failed on the"
"10139","first pies, because we didn’t know how, but she come up smiling on the"
"10140","last one. We took and lined her with dough, and set her in the coals,"
"10141","and loaded her up with rag rope, and put on a dough roof, and shut down"
"10142","the lid, and put hot embers on top, and stood off five foot, with the"
"10143","long handle, cool and comfortable, and in fifteen minutes she turned"
"10144","out a pie that was a satisfaction to look at. But the person that et it"
"10145","would want to fetch a couple of kags of toothpicks along, for if that"
"10146","rope ladder wouldn’t cramp him down to business I don’t know nothing"
"10147","what I’m talking about, and lay him in enough stomach-ache to last him"
"10148","till next time, too."
"10149",""
"10150","Nat didn’t look when we put the witch pie in Jim’s pan; and we put the"
"10151","three tin plates in the bottom of the pan under the vittles; and so Jim"
"10152","got everything all right, and as soon as he was by himself he busted"
"10153","into the pie and hid the rope ladder inside of his straw tick, and"
"10154","scratched some marks on a tin plate and throwed it out of the"
"10155","window-hole."
"10156",""
"10157",""
"10158",""
"10159",""
"10160","CHAPTER XXXVIII."
"10161",""
"10162",""
"10163","Making them pens was a distressid tough job, and so was the saw; and"
"10164","Jim allowed the inscription was going to be the toughest of all. That’s"
"10165","the one which the prisoner has to scrabble on the wall. But he had to"
"10166","have it; Tom said he’d _got_ to; there warn’t no case of a state"
"10167","prisoner not scrabbling his inscription to leave behind, and his coat"
"10168","of arms."
"10169",""
"10170","“Look at Lady Jane Grey,” he says; “look at Gilford Dudley; look at old"
"10171","Northumberland! Why, Huck, s’pose it _is_ considerble trouble?—what you"
"10172","going to do?—how you going to get around it? Jim’s _got_ to do his"
"10173","inscription and coat of arms. They all do.”"
"10174",""
"10175","Jim says:"
"10176",""
"10177","“Why, Mars Tom, I hain’t got no coat o’ arm; I hain’t got nuffn but"
"10178","dish yer ole shirt, en you knows I got to keep de journal on dat.”"
"10179",""
"10180","“Oh, you don’t understand, Jim; a coat of arms is very different.”"
"10181",""
"10182","“Well,” I says, “Jim’s right, anyway, when he says he ain’t got no coat"
"10183","of arms, because he hain’t.”"
"10184",""
"10185","“I reckon _I_ knowed that,” Tom says, “but you bet he’ll have one"
"10186","before he goes out of this—because he’s going out _right_, and there"
"10187","ain’t going to be no flaws in his record.”"
"10188",""
"10189","So whilst me and Jim filed away at the pens on a brickbat apiece, Jim"
"10190","a-making his’n out of the brass and I making mine out of the spoon, Tom"
"10191","set to work to think out the coat of arms. By-and-by he said he’d"
"10192","struck so many good ones he didn’t hardly know which to take, but there"
"10193","was one which he reckoned he’d decide on. He says:"
"10194",""
"10195","“On the scutcheon we’ll have a bend _or_ in the dexter base, a saltire"
"10196","_murrey_ in the fess, with a dog, couchant, for common charge, and"
"10197","under his foot a chain embattled, for slavery, with a chevron _vert_ in"
"10198","a chief engrailed, and three invected lines on a field _azure_, with"
"10199","the nombril points rampant on a dancette indented; crest, a runaway"
"10200","nigger, _sable_, with his bundle over his shoulder on a bar sinister;"
"10201","and a couple of gules for supporters, which is you and me; motto,"
"10202","_Maggiore fretta, minore atto._ Got it out of a book—means the more"
"10203","haste the less speed.”"
"10204",""
"10205","“Geewhillikins,” I says, “but what does the rest of it mean?”"
"10206",""
"10207","“We ain’t got no time to bother over that,” he says; “we got to dig in"
"10208","like all git-out.”"
"10209",""
"10210","“Well, anyway,” I says, “what’s _some_ of it? What’s a fess?”"
"10211",""
"10212","“A fess—a fess is—_you_ don’t need to know what a fess is. I’ll show"
"10213","him how to make it when he gets to it.”"
"10214",""
"10215","“Shucks, Tom,” I says, “I think you might tell a person. What’s a bar"
"10216","sinister?”"
"10217",""
"10218","“Oh, _I_ don’t know. But he’s got to have it. All the nobility does.”"
"10219",""
"10220","That was just his way. If it didn’t suit him to explain a thing to you,"
"10221","he wouldn’t do it. You might pump at him a week, it wouldn’t make no"
"10222","difference."
"10223",""
"10224","He’d got all that coat of arms business fixed, so now he started in to"
"10225","finish up the rest of that part of the work, which was to plan out a"
"10226","mournful inscription—said Jim got to have one, like they all done. He"
"10227","made up a lot, and wrote them out on a paper, and read them off, so:"
"10228",""
"10229","1. _Here a captive heart busted._"
"10230",""
"10231","2. _Here a poor prisoner, forsook by the world and friends, fretted his"
"10232","sorrowful life._"
"10233",""
"10234","3. _Here a lonely heart broke, and a worn spirit went to its rest,"
"10235","after thirty-seven years of solitary captivity._"
"10236",""
"10237","4. _Here, homeless and friendless, after thirty-seven years of bitter"
"10238","captivity, perished a noble stranger, natural son of Louis XIV._"
"10239",""
"10240",""
"10241","Tom’s voice trembled whilst he was reading them, and he most broke"
"10242","down. When he got done he couldn’t no way make up his mind which one"
"10243","for Jim to scrabble on to the wall, they was all so good; but at last"
"10244","he allowed he would let him scrabble them all on. Jim said it would"
"10245","take him a year to scrabble such a lot of truck on to the logs with a"
"10246","nail, and he didn’t know how to make letters, besides; but Tom said he"
"10247","would block them out for him, and then he wouldn’t have nothing to do"
"10248","but just follow the lines. Then pretty soon he says:"
"10249",""
"10250","“Come to think, the logs ain’t a-going to do; they don’t have log walls"
"10251","in a dungeon: we got to dig the inscriptions into a rock. We’ll fetch a"
"10252","rock.”"
"10253",""
"10254","Jim said the rock was worse than the logs; he said it would take him"
"10255","such a pison long time to dig them into a rock he wouldn’t ever get"
"10256","out. But Tom said he would let me help him do it. Then he took a look"
"10257","to see how me and Jim was getting along with the pens. It was most"
"10258","pesky tedious hard work and slow, and didn’t give my hands no show to"
"10259","get well of the sores, and we didn’t seem to make no headway, hardly;"
"10260","so Tom says:"
"10261",""
"10262","“I know how to fix it. We got to have a rock for the coat of arms and"
"10263","mournful inscriptions, and we can kill two birds with that same rock."
"10264","There’s a gaudy big grindstone down at the mill, and we’ll smouch it,"
"10265","and carve the things on it, and file out the pens and the saw on it,"
"10266","too.”"
"10267",""
"10268","It warn’t no slouch of an idea; and it warn’t no slouch of a grindstone"
"10269","nuther; but we allowed we’d tackle it. It warn’t quite midnight yet, so"
"10270","we cleared out for the mill, leaving Jim at work. We smouched the"
"10271","grindstone, and set out to roll her home, but it was a most nation"
"10272","tough job. Sometimes, do what we could, we couldn’t keep her from"
"10273","falling over, and she come mighty near mashing us every time. Tom said"
"10274","she was going to get one of us, sure, before we got through. We got her"
"10275","half way; and then we was plumb played out, and most drownded with"
"10276","sweat. We see it warn’t no use; we got to go and fetch Jim. So he"
"10277","raised up his bed and slid the chain off of the bed-leg, and wrapt it"
"10278","round and round his neck, and we crawled out through our hole and down"
"10279","there, and Jim and me laid into that grindstone and walked her along"
"10280","like nothing; and Tom superintended. He could out-superintend any boy I"
"10281","ever see. He knowed how to do everything."
"10282",""
"10283","Our hole was pretty big, but it warn’t big enough to get the grindstone"
"10284","through; but Jim he took the pick and soon made it big enough. Then Tom"
"10285","marked out them things on it with the nail, and set Jim to work on"
"10286","them, with the nail for a chisel and an iron bolt from the rubbage in"
"10287","the lean-to for a hammer, and told him to work till the rest of his"
"10288","candle quit on him, and then he could go to bed, and hide the"
"10289","grindstone under his straw tick and sleep on it. Then we helped him fix"
"10290","his chain back on the bed-leg, and was ready for bed ourselves. But Tom"
"10291","thought of something, and says:"
"10292",""
"10293","“You got any spiders in here, Jim?”"
"10294",""
"10295","“No, sah, thanks to goodness I hain’t, Mars Tom.”"
"10296",""
"10297","“All right, we’ll get you some.”"
"10298",""
"10299","“But bless you, honey, I doan’ _want_ none. I’s afeard un um. I jis’ ’s"
"10300","soon have rattlesnakes aroun’.”"
"10301",""
"10302","Tom thought a minute or two, and says:"
"10303",""
"10304","“It’s a good idea. And I reckon it’s been done. It _must_ a been done;"
"10305","it stands to reason. Yes, it’s a prime good idea. Where could you keep"
"10306","it?”"
"10307",""
"10308","“Keep what, Mars Tom?”"
"10309",""
"10310","“Why, a rattlesnake.”"
"10311",""
"10312","“De goodness gracious alive, Mars Tom! Why, if dey was a rattlesnake to"
"10313","come in heah I’d take en bust right out thoo dat log wall, I would, wid"
"10314","my head.”"
"10315",""
"10316","“Why, Jim, you wouldn’t be afraid of it after a little. You could tame"
"10317","it.”"
"10318",""
"10319","“_Tame_ it!”"
"10320",""
"10321","“Yes—easy enough. Every animal is grateful for kindness and petting,"
"10322","and they wouldn’t _think_ of hurting a person that pets them. Any book"
"10323","will tell you that. You try—that’s all I ask; just try for two or three"
"10324","days. Why, you can get him so, in a little while, that he’ll love you;"
"10325","and sleep with you; and won’t stay away from you a minute; and will let"
"10326","you wrap him round your neck and put his head in your mouth.”"
"10327",""
"10328","“_Please_, Mars Tom—_doan_’ talk so! I can’t _stan_’ it! He’d _let_ me"
"10329","shove his head in my mouf—fer a favor, hain’t it? I lay he’d wait a"
"10330","pow’ful long time ’fo’ I _ast_ him. En mo’ en dat, I doan’ _want_ him"
"10331","to sleep wid me.”"
"10332",""
"10333","“Jim, don’t act so foolish. A prisoner’s _got_ to have some kind of a"
"10334","dumb pet, and if a rattlesnake hain’t ever been tried, why, there’s"
"10335","more glory to be gained in your being the first to ever try it than any"
"10336","other way you could ever think of to save your life.”"
"10337",""
"10338","“Why, Mars Tom, I doan’ _want_ no sich glory. Snake take ’n bite Jim’s"
"10339","chin off, den _whah_ is de glory? No, sah, I doan’ want no sich"
"10340","doin’s.”"
"10341",""
"10342","“Blame it, can’t you _try?_ I only _want_ you to try—you needn’t keep"
"10343","it up if it don’t work.”"
"10344",""
"10345","“But de trouble all _done_ ef de snake bite me while I’s a tryin’ him."
"10346","Mars Tom, I’s willin’ to tackle mos’ anything ’at ain’t onreasonable,"
"10347","but ef you en Huck fetches a rattlesnake in heah for me to tame, I’s"
"10348","gwyne to _leave_, dat’s _shore_.”"
"10349",""
"10350","“Well, then, let it go, let it go, if you’re so bull-headed about it."
"10351","We can get you some garter-snakes, and you can tie some buttons on"
"10352","their tails, and let on they’re rattlesnakes, and I reckon that ’ll"
"10353","have to do.”"
"10354",""
"10355","“I k’n stan’ _dem_, Mars Tom, but blame’ ’f I couldn’ get along widout"
"10356","um, I tell you dat. I never knowed b’fo’ ’t was so much bother and"
"10357","trouble to be a prisoner.”"
"10358",""
"10359","“Well, it _always_ is when it’s done right. You got any rats around"
"10360","here?”"
"10361",""
"10362","“No, sah, I hain’t seed none.”"
"10363",""
"10364","“Well, we’ll get you some rats.”"
"10365",""
"10366","“Why, Mars Tom, I doan’ _want_ no rats. Dey’s de dadblamedest creturs"
"10367","to ’sturb a body, en rustle roun’ over ’im, en bite his feet, when he’s"
"10368","tryin’ to sleep, I ever see. No, sah, gimme g’yarter-snakes, ’f I’s got"
"10369","to have ’m, but doan’ gimme no rats; I hain’ got no use f’r um,"
"10370","skasely.”"
"10371",""
"10372","“But, Jim, you _got_ to have ’em—they all do. So don’t make no more"
"10373","fuss about it. Prisoners ain’t ever without rats. There ain’t no"
"10374","instance of it. And they train them, and pet them, and learn them"
"10375","tricks, and they get to be as sociable as flies. But you got to play"
"10376","music to them. You got anything to play music on?”"
"10377",""
"10378","“I ain’ got nuffn but a coase comb en a piece o’ paper, en a"
"10379","juice-harp; but I reck’n dey wouldn’ take no stock in a juice-harp.”"
"10380",""
"10381","“Yes they would. _They_ don’t care what kind of music ’tis. A"
"10382","jews-harp’s plenty good enough for a rat. All animals like music—in a"
"10383","prison they dote on it. Specially, painful music; and you can’t get no"
"10384","other kind out of a jews-harp. It always interests them; they come out"
"10385","to see what’s the matter with you. Yes, you’re all right; you’re fixed"
"10386","very well. You want to set on your bed nights before you go to sleep,"
"10387","and early in the mornings, and play your jews-harp; play ‘The Last Link"
"10388","is Broken’—that’s the thing that ’ll scoop a rat quicker ’n anything"
"10389","else; and when you’ve played about two minutes you’ll see all the rats,"
"10390","and the snakes, and spiders, and things begin to feel worried about"
"10391","you, and come. And they’ll just fairly swarm over you, and have a noble"
"10392","good time.”"
"10393",""
"10394","“Yes, _dey_ will, I reck’n, Mars Tom, but what kine er time is _Jim_"
"10395","havin’? Blest if I kin see de pint. But I’ll do it ef I got to. I"
"10396","reck’n I better keep de animals satisfied, en not have no trouble in de"
"10397","house.”"
"10398",""
"10399","Tom waited to think it over, and see if there wasn’t nothing else; and"
"10400","pretty soon he says:"
"10401",""
"10402","“Oh, there’s one thing I forgot. Could you raise a flower here, do you"
"10403","reckon?”"
"10404",""
"10405","“I doan know but maybe I could, Mars Tom; but it’s tolable dark in"
"10406","heah, en I ain’ got no use f’r no flower, nohow, en she’d be a pow’ful"
"10407","sight o’ trouble.”"
"10408",""
"10409","“Well, you try it, anyway. Some other prisoners has done it.”"
"10410",""
"10411","“One er dem big cat-tail-lookin’ mullen-stalks would grow in heah, Mars"
"10412","Tom, I reck’n, but she wouldn’t be wuth half de trouble she’d coss.”"
"10413",""
"10414","“Don’t you believe it. We’ll fetch you a little one and you plant it in"
"10415","the corner over there, and raise it. And don’t call it mullen, call it"
"10416","Pitchiola—that’s its right name when it’s in a prison. And you want to"
"10417","water it with your tears.”"
"10418",""
"10419","“Why, I got plenty spring water, Mars Tom.”"
"10420",""
"10421","“You don’t _want_ spring water; you want to water it with your tears."
"10422","It’s the way they always do.”"
"10423",""
"10424","“Why, Mars Tom, I lay I kin raise one er dem mullen-stalks twyste wid"
"10425","spring water whiles another man’s a _start’n_ one wid tears.”"
"10426",""
"10427","“That ain’t the idea. You _got_ to do it with tears.”"
"10428",""
"10429","“She’ll die on my han’s, Mars Tom, she sholy will; kase I doan’ skasely"
"10430","ever cry.”"
"10431",""
"10432","So Tom was stumped. But he studied it over, and then said Jim would"
"10433","have to worry along the best he could with an onion. He promised he"
"10434","would go to the nigger cabins and drop one, private, in Jim’s"
"10435","coffee-pot, in the morning. Jim said he would “jis’ ’s soon have"
"10436","tobacker in his coffee;” and found so much fault with it, and with the"
"10437","work and bother of raising the mullen, and jews-harping the rats, and"
"10438","petting and flattering up the snakes and spiders and things, on top of"
"10439","all the other work he had to do on pens, and inscriptions, and"
"10440","journals, and things, which made it more trouble and worry and"
"10441","responsibility to be a prisoner than anything he ever undertook, that"
"10442","Tom most lost all patience with him; and said he was just loadened down"
"10443","with more gaudier chances than a prisoner ever had in the world to make"
"10444","a name for himself, and yet he didn’t know enough to appreciate them,"
"10445","and they was just about wasted on him. So Jim he was sorry, and said he"
"10446","wouldn’t behave so no more, and then me and Tom shoved for bed."
"10447",""
"10448",""
"10449",""
"10450",""
"10451","CHAPTER XXXIX."
"10452",""
"10453",""
"10454","In the morning we went up to the village and bought a wire rat-trap and"
